,,,Current Location,,,,,Displacement Dynamics,,,,,,,Priority Need,Shelter Details (# of HHs),,,,,,,,,,,,,
IDPs,,,Raymah,Mazhar,,Al-Jund,1,Amanat Al Asimah,Shu'aub,ODOG,2019-01-05,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D03614
IDPs,,,Abyan,Khanfir,,Jaar-???,12,Al Hudaydah,Zabid,ODOG,2019-01-06,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,5,3,0,0,,20190101 - 20190622,D00003
IDPs,,,Al Bayda,Maswarah,,Naqas-????,3,Shabwah,Merkhah As Sufla,ODOG,2019-01-06,Conflict,General Conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,2,0,0,1,0,0,,20190101 - 20190622,D00157
IDPs,,,Sana'a,Sa'fan,,Al-Maseil-??????,2,Al Hudaydah,Al Hali,ODOG,2019-01-06,Conflict,Al Hudaydah conflict,,Food- Financial support-,0,0,0,0,0,0,0,0,1,0,1,,20190101 - 20190622,D01525
IDPs,,,Abyan,Khanfir,,Jasr 26 Meyklan-???26 ??????,3,Al Hudaydah,Hays,ODOG,2019-01-07,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00004
IDPs,,,Abyan,Khanfir,,Al-Coud-?????,4,Al Hudaydah,Bayt Al Faqiah,ODOG,2019-01-07,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00005
IDPs,,,Al Bayda,Dhi Na'im,,Al-Munqatae-???????,1,Al Bayda,Az Zahir,ODSG,2019-01-07,Conflict,General Conflict,,Drinking Water- Cooking/washing Water- Food- Health Sanitation/ Hygiene- Shelter/Housing- Education for children- Access to income- Household Items (NFI)- Psychosocial support- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D00120
IDPs,,,Al Bayda,As Sawadiyah,,Hajnan Al Husein-???? ?? ????,1,Hajjah,Haradh,ODOG,2019-01-07,Conflict,Hajjah Conflict,,Drinking Water- Cooking/washing Water- Food- Health Sanitation/ Hygiene- Shelter/Housing- Education for children- Access to income- Household Items (NFI)- Psychosocial support- Financial support-,0,0,0,0,0,1,0,0,0,0,0,,20190101 - 20190622,D00121
IDPs,,,Sana'a,Bilad Ar Rus,,Bait Al-Zeyadi-??? ???????,1,Hajjah,Bani Qa'is,ODOG,2019-01-07,Conflict,Hajjah Conflict,,Food- Financial support-,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D01470
IDPs,,,Sana'a,Manakhah,,Al-Qodm-?????,4,Al Hudaydah,Al Hawak,ODOG,2019-01-07,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,2,0,2,0,,20190101 - 20190622,D01475
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah-??????,1,Hajjah,Kushar,ODOG,2019-01-07,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01529
IDPs,,,Sana'a,Bani Matar,,Al-Subahah-???????,2,Al Hudaydah,Al Hawak,ODOG,2019-01-07,Conflict,Al Hudaydah conflict,,Food- Financial support- Shelter/Housing-,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D01542
IDPs,,,Abyan,Khanfir,,Halmah-????,1,Al Hudaydah,Hays,ODOG,2019-01-08,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00006
IDPs,,,Abyan,Khanfir,,Al-Hisn-?????,6,Al Hudaydah,Hays,ODOG,2019-01-08,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,6,0,0,,20190101 - 20190622,D00007
IDPs,,,Al Bayda,Na'man,,Al-Lakhf-?????,5,Dhamar,Wusab As Safil,ODOG,2019-01-08,Conflict,General Conflict,,Food- Shelter/Housing-,0,3,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D00158
IDPs,,,Sana'a,Sanhan,,Artal-????,2,Al Hudaydah,Zabid,ODOG,2019-01-08,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D01495
IDPs,,,Sana'a,Sa'fan,,Habsh-???,1,Al Hudaydah,Al Hali,ODOG,2019-01-08,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing- Financial support-,0,0,0,0,0,0,0,0,0,0,1,,20190101 - 20190622,D01522
IDPs,,,Abyan,Sarar,,Shuabat Qardh-???? ???,2,Aden,Al Mansura,ODOG,2019-01-09,Conflict,General Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D00008
IDPs,,,Abyan,Rasad,,Thera Al-Hasyah-???? ??????,1,Al Hudaydah,Al Hali,ODOG,2019-01-09,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D00009
IDPs,,,Abyan,Zingibar,,Amoudyah-??????,3,Al Hudaydah,Bayt Al Faqiah,ODOG,2019-01-09,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,3,0,0,,20190101 - 20190622,D00010
IDPs,,,Abyan,Khanfir,,Al-Maseimeer-????????,8,Al Hudaydah,Hays,ODOG,2019-01-09,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D00011
IDPs,,,Abyan,Khanfir,,Al-Rawa-??????,1,Al Hudaydah,Hays,ODOG,2019-01-09,Conflict,Al Hudaydah conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D00012
IDPs,,,Aden,Al Mualla,,Rdfan-?????,1,Al Dhale'e,Damt,ODOG,2019-01-09,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D00054
IDPs,,,Aden,Al Mualla,,Rdfan-?????,2,Ibb,Ibb,ODOG,2019-01-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D00055
IDPs,,,Aden,Al Mualla,,Rdfan-?????,11,Al Hudaydah,Al Khawkhah,ODOG,2019-01-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,11,0,0,0,,20190101 - 20190622,D00056
IDPs,,,Aden,Al Mualla,,Rdfan-?????,48,Taizz,Al  Mukha,ODOG,2019-01-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,48,0,0,0,,20190101 - 20190622,D00057
IDPs,,,Al Dhale'e,Al Husha,,Dhawran-?????,1,Al Hudaydah,Al Garrahi,ODOG,2019-01-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D00244
